Date,Open,High,Low,Close
23/08/2021,"1,588.00","1,584.42","1,584.42","1,584.42"
20/08/2021,"1,577.21","1,584.73","1,584.73","1,584.73"
19/08/2021,"1,564.71","1,576.66","1,576.66","1,576.66"
18/08/2021,"1,592.06","1,569.02","1,569.02","1,569.02"
17/08/2021,"1,571.71","1,592.32","1,592.32","1,592.32"
16/08/2021,"1,556.85","1,574.69","1,574.69","1,574.69"
13/08/2021,"1,549.44","1,557.13","1,557.13","1,557.13"
12/08/2021,"1,537.50","1,547.82","1,547.82","1,547.82"
11/08/2021,"1,549.95","1,536.02","1,536.02","1,536.02"
10/08/2021,"1,555.04","1,551.06","1,551.06","1,551.06"
09/08/2021,"1,549.48","1,554.79","1,554.79","1,554.79"
06/08/2021,"1,550.73","1,548.95","1,548.95","1,548.95"
05/08/2021,"1,554.09","1,550.57","1,550.57","1,550.57"
04/08/2021,"1,560.76","1,556.43","1,556.43","1,556.43"
03/08/2021,"1,540.90","1,562.97","1,562.97","1,562.97"
02/08/2021,"1,541.01","1,541.20","1,541.20","1,541.20"
30/07/2021,"1,537.43","1,538.58","1,538.58","1,538.58"
29/07/2021,"1,535.01","1,537.42","1,537.42","1,537.42"
28/07/2021,"1,529.37","1,534.57","1,534.57","1,534.57"
27/07/2021,"1,521.33","1,528.70","1,528.70","1,528.70"
26/07/2021,"1,530.96","1,522.03","1,522.03","1,522.03"
23/07/2021,"1,515.49","1,531.58","1,531.58","1,531.58"
22/07/2021,"1,503.46","1,513.77","1,513.77","1,513.77"
21/07/2021,"1,501.78","1,503.77","1,503.77","1,503.77"
20/07/2021,"1,483.45","1,500.69","1,500.69","1,500.69"
19/07/2021,"1,497.41","1,482.87","1,482.87","1,482.87"
16/07/2021,"1,496.25","1,498.96","1,498.96","1,498.96"
15/07/2021,"1,498.62","1,495.65","1,495.65","1,495.65"
14/07/2021,"1,502.50","1,499.48","1,499.48","1,499.48"
13/07/2021,"1,503.73","1,502.55","1,502.55","1,502.55"
12/07/2021,"1,501.07","1,504.15","1,504.15","1,504.15"
09/07/2021,"1,497.94","1,501.46","1,501.46","1,501.46"
08/07/2021,"1,498.45","1,496.08","1,496.08","1,496.08"
07/07/2021,"1,494.63","1,503.20","1,503.20","1,503.20"
